ean,nome,marca,preco,precoPor,precoDe,oferta,loja,link
0,,,,,,,carrefour_ar,
39800099099,,,,,,,carrefour_ar,
39800011329,,,,,,,carrefour_ar,
7790070012050,Aceite de girasol Cocinero 900 cc.,Cocinero,3889.0,,,,carrefour_ar,https://www.carrefour.com.ar/aceite-de-girasol-cocinero-900-cc/p
7790060234868,Aceite Cocinero mezcla soja girasol 900 g.,Cocinero,3089.0,,,,carrefour_ar,https://www.carrefour.com.ar/aceite-cocinero-mezcla-soja-girasol-900-g-590516/p
7792180001665,Aceite de girasol Cañuelas 1.5 l.,Cañuelas,6200.0,,,,carrefour_ar,https://www.carrefour.com.ar/aceite-de-girasol-canuelas-15-l/p
7792180137937,Aceite de girasol Pureza 900 cc.,Pureza,3439.0,,,,carrefour_ar,https://www.carrefour.com.ar/aceite-de-girasol-pureza-900-cc/p
7798316700808,Aceite de girasol Legitimo 900 cc.,Legitimo,3329.0,,,,carrefour_ar,https://www.carrefour.com.ar/aceite-de-girasol-legitimo-900-cc-700951/p
7798316700815,Aceite de girasol Legitimo 1.5 lt.,Legitimo,5799.0,,,,carrefour_ar,https://www.carrefour.com.ar/aceite-de-girasol-legitimo-15-lt-700952/p
7790272001005,Aceite de girasol Natura 900 cc.,Natura,4195.0,,,,carrefour_ar,https://www.carrefour.com.ar/aceite-de-girasol-natura-900-cc/p
7790070431431,Arroz doble Gallo 500 g.,Gallo,1870.0,,,,carrefour_ar,https://www.carrefour.com.ar/arroz-doble-gallo-500-g-726294/p
7790503199082,Arroz largo fino 00000 Dos Hermanos bolsa 1 kg.,Dos Hermanos,1770.0,,,,carrefour_ar,https://www.carrefour.com.ar/arroz-largo-fino-00000-dos-hermanos-bolsa-1-kg/p
7791120100208,Arroz largo fino Apóstoles x 500 g.,Apóstoles,0.0,,,,carrefour_ar,https://www.carrefour.com.ar/arroz-largo-fino-apostoles-x-500-g/p
7790387070019,Arroz largo fino Maria 00000 1 kg.,Maria,1800.0,,,,carrefour_ar,https://www.carrefour.com.ar/arroz-largo-fino-maria-00000-1-kg/p
7791120032554,Arroz largo fino 53 0000 bolsa 1 kg.,53,176.5,,,,carrefour_ar,https://www.carrefour.com.ar/arroz-largo-fino-53-0000-bolsa-1-kg/p
7796613026003,Papas fritas,,,,,,carrefour_ar,https://www.carrefour.com.ar/papas%20fritas?_q=papas%20fritas&map=ft
7790070431493,Arroz largo fino 00000 Lucchetti 500 g.,Lucchetti,969.0,,,,carrefour_ar,https://www.carrefour.com.ar/arroz-largo-fino-00000-lucchetti-500-g-726298/p
7790070265371,Papas fritas,,,,,,carrefour_ar,https://www.carrefour.com.ar/papas%20fritas?_q=papas%20fritas&map=ft
7790503199099,Arroz parboil Dos Hermanos bolsa 1 kg.,Dos Hermanos,2050.0,,,,carrefour_ar,https://www.carrefour.com.ar/arroz-parboil-dos-hermanos-bolsa-1-kg/p
7792540260138,Azúcar Ledesma clásica 1 kg.,Ledesma,1349.0,,,,carrefour_ar,https://www.carrefour.com.ar/azucar-ledesma-clasica-1-kg/p
