loja,ean,sku,nome,marca,precoDe,precoPor,oferta,desconto_percentual,print_tela_path,link
jumbo_ar,190679000095,250670,Shampoo Herbal Essences Rosemary 400ml,Shampoo,"$ 16.500,00",,,,,https://www.jumbo.com.ar/190679000095?_q=190679000095&map=ft
jumbo_ar,190679000088,250684,Shampoo Herbal Essences Argan 400ml,Shampoo,"$ 16.550,00",,,,,https://www.jumbo.com.ar/190679000088?_q=190679000088&map=ft
jumbo_ar,190679000118,250674,Acondicionador Herbal Essences Coconut 400ml,Acondicionador,"$ 16.800,00",,,,,https://www.jumbo.com.ar/190679000118?_q=190679000118&map=ft
jumbo_ar,190679000019,250669,Shampoo Herbal Essences Coconut 400ml,Shampoo,"$ 16.550,00",,,,,https://www.jumbo.com.ar/190679000019?_q=190679000019&map=ft
jumbo_ar,190679000187,250672,Acondicionador Herbal Essences Argan400ml,Acondicionador,"$ 16.800,00",,,,,https://www.jumbo.com.ar/190679000187?_q=190679000187&map=ft
jumbo_ar,25700712008,278944,Bolsas Herméticas Para Llevar Chica 14 Un Ziploc,Bolsas,"$ 4.199,00",,,,,https://www.jumbo.com.ar/25700712008?_q=25700712008&map=ft
jumbo_ar,3014260019723,39044,Cepillo Oral B Mickey X1,Cepillo,"$ 4.850,00",,,,,https://www.jumbo.com.ar/3014260019723?_q=3014260019723&map=ft
jumbo_ar,3014260802189,3074656,Cepillo Oral B Complete X1,Cepillo,"$ 4.700,00",,,,,https://www.jumbo.com.ar/3014260802189?_q=3014260802189&map=ft
jumbo_ar,3014260279165,3074658,Crema Dental Oral-b Niños Stages Pooh 100 Gr,Crema,"$ 6.550,00",,,,,https://www.jumbo.com.ar/3014260279165?_q=3014260279165&map=ft
jumbo_ar,3059946160139,315636,Detergente Para Lavavajillas Finish Tabletas 30 Unid.,Detergente,"$ 23.850,00",,,,,https://www.jumbo.com.ar/3059946160139?_q=3059946160139&map=ft
jumbo_ar,3161712996108,14996,Queso Ile De France Camembert 125 Gr,Queso,"$ 12.650,00",,,,,https://www.jumbo.com.ar/3161712996108?_q=3161712996108&map=ft
jumbo_ar,3161712996146,14944,Queso Ile De France Brie 125 Gr,Queso,"$ 12.650,00",,,,,https://www.jumbo.com.ar/3161712996146?_q=3161712996146&map=ft
