loja,ean,sku,nome,marca,precoDe,precoPor,oferta,print_tela_path,link
masonline,705010510548,8210,Toallitas Demaquillantes Night Calming Neutrogena® 25 U,Neutrogena,8119.00,,,,https://www.masonline.com.ar/toallitas-demaquillantes-night-calming-neutrogena-25-un-2/p
masonline,70501872956,24359,Gel Facial Neutrogena De Limpieza 354ml,Neutrogena,23959.00,,,,https://www.masonline.com.ar/gel-de-limpieza-ultra-gentle-neutrogena-354-ml-2/p
masonline,99176316565,8149,Cepillo De Dientes Colgate Max White Medio 2 U,Colgate,6489.00,,,,https://www.masonline.com.ar/cepillo-dental-max-white-colgate-2-x-1-2/p
masonline,79400300546,33260,Desodorante Antitranspirante Rexona Sport Fresh En Crema 45 G,Rexona,14039.00,,,,https://www.masonline.com.ar/desodorante-antitranspirante-rexona-sport-fresh-en-crema-45-g-2/p
masonline,79400301161,21734,Desodorante Antit Clinical Extra Dry Rexona 48 Gr,Rexona,14039.00,,,,https://www.masonline.com.ar/desodorante-antit-clinical-extra-dry-rexona-48-gr-2/p
masonline,190679000088,41709,Shampoo Argan Oil Herbal Essences 400ml,Herbal Essences,15949.00,,,,https://www.masonline.com.ar/shampoo-argan-oil-herbal-essences-400ml-2/p
masonline,190679000088,41709,Shampoo Argan Oil Herbal Essences 400ml,Herbal Essences,15949.00,,,,https://www.masonline.com.ar/shampoo-argan-oil-herbal-essences-400ml-2/p
masonline,190679000088,41709,Shampoo Argan Oil Herbal Essences 400ml,Herbal Essences,15949.00,,,,https://www.masonline.com.ar/shampoo-argan-oil-herbal-essences-400ml-2/p
masonline,190679000088,41709,Shampoo Argan Oil Herbal Essences 400ml,Herbal Essences,15949.00,,,,https://www.masonline.com.ar/shampoo-argan-oil-herbal-essences-400ml-2/p
masonline,190679000088,41709,Shampoo Argan Oil Herbal Essences 400ml,Herbal Essences,15949.00,,,,https://www.masonline.com.ar/shampoo-argan-oil-herbal-essences-400ml-2/p
masonline,25700712008,132037,Bolsas Herméticas Ziploc Para Llevar Chica 14un,Ziploc,3019.00,,,,https://www.masonline.com.ar/bolsas-hermeticas-ziploc-para-llevar-chica-14un-2/p
masonline,381519180743,239534,Shampoo Herbal Essences Brillo 400 Ml,Herbal Essences,15949.00,,,,https://www.masonline.com.ar/shampoo-herbal-essences-brillo-400-ml/p
masonline,4005800137679,37665,Crema Hidratante Intensiva Nivea Creme En Lata Para Todo Tipo De Piel X 60 Ml,Nivea,3949.00,,,,https://www.masonline.com.ar/crema-corporal-lata-creme-nivea-60-ml-2/p
masonline,4005800326134,191277,Crema Corporal Reafirmante Nivea Q10 + Colágeno 6 En 1 Para Todo Tipo De Piel 250 Ml,Nivea,11399.00,,,,https://www.masonline.com.ar/crema-corporal-nivea-nbody-q10-plus-collagen-6en1-250ml-2/p
masonline,4005808229123,31151,Gel De Afeitar Nivea Men Sensitive Para Piel Sensible 200 Ml,Nivea,9549.00,,,,https://www.masonline.com.ar/gel-de-afeitar-sensitive-nivea-200-ml-2/p
masonline,4005808257553,7506,Desodorante Antitranspirante Nivea Men Dry Impact Roll On X 50 Ml,Nivea,2719.00,,,,https://www.masonline.com.ar/desodorante-antit-dry-impact-nivea-men-50-ml-2/p
masonline,381519180743,239534,Shampoo Herbal Essences Brillo 400 Ml,Herbal Essences,15949.00,,,,https://www.masonline.com.ar/shampoo-herbal-essences-brillo-400-ml/p
masonline,4005808257584,3619,Desodorante Antitranspirante Femenino Nivea Dry Comfort Roll On X 50 Ml,Nivea,2719.00,,,,https://www.masonline.com.ar/desodorante-roll-on-dry-comfort-nivea-53-ml-2/p
masonline,4005808257621,180342,Desodorante Antitranspirante Nivea Men Sensitive Protect Roll On X 50 Ml,Nivea Men,2719.00,,,,https://www.masonline.com.ar/desodorante-nivea-men-sensitive-protect-roll-on-50ml-2/p
masonline,4005808257669,7720,Desodorante Antitranspirante Femenino Nivea Pearl & Beauty Roll On X 50 Ml,Nivea,2719.00,,,,https://www.masonline.com.ar/desodorante-roll-on-antit-pearl-beauty-nivea-58-ml-2/p
masonline,4005808315093,11052,Crema Corporal Hidratante Nivea Milk Nutritiva Para Piel Extra Seca 250 Ml,Nivea,7739.00,,,,https://www.masonline.com.ar/crema-nutritiva-body-milk-nivea-250ml-2/p
masonline,4005808515592,174998,Crema Hidratante Intensiva Nivea Soft Para Uso Diario 200 Ml,Nivea,8999.00,,,,https://www.masonline.com.ar/crema-corporal-hidratante-intensiva-nivea-soft-200-ml-2/p
masonline,4005808890590,7205,Crema Hidratante Intensiva Nivea Soft Para Uso Diario 100ml,Nivea,5799.00,,,,https://www.masonline.com.ar/crema-nivea-soft-100-ml-2/p
masonline,4005808944385,182008,Protector Solar Nivea Swim & Play Kids Fps 60 Ultra Resistente Al Agua 150 Ml,Nivea Sun,21339.00,,,,https://www.masonline.com.ar/protector-solar-nivea-sun-kids-swim-play-fps60-150ml-2/p
